NC_001905.3,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,1
NC_007244.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,2
NC_004916.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,3
NC_007245.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,4
NC_007246.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,5
NC_007247.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,6
NC_007248.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,7
NC_007249.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,8
NC_007250.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,9
NC_007251.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,10
NC_007252.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,11
NC_007253.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,12
NC_007254.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,13
NC_007255.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,14
NC_007256.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,15
NC_007257.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,16
NC_007258.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,17
NC_007259.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,18
NC_007260.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,19
NC_007261.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,20
NC_007262.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,21
NC_007263.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,22
NC_007264.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,23
NC_007265.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,24
NC_007266.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,25
NC_007267.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,26
NC_007268.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,27
NC_007269.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,28
NC_007270.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,29
NC_007271.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,30
NC_007272.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,31
NC_007273.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,32
NC_007285.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,33
NC_007286.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,34
NC_007284.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,35
NC_007287.2,Leishmania,major,strain,Friedlin,complete,genome,,chromosome,36
NC_025260.1,Theileria,orientalis,strain,Shintoku,DNA,,chromosome,1,,complete,genome
NC_025261.1,Theileria,orientalis,strain,Shintoku,DNA,,chromosome,2,,complete,genome
NC_025262.1,Theileria,orientalis,strain,Shintoku,DNA,,chromosome,3,,complete,genome
NC_025263.1,Theileria,orientalis,strain,Shintoku,DNA,,chromosome,4,,complete,genome
NW_009646192.1,Theileria,orientalis,strain,Shintoku,mitochondrial,DNA,,partial,genome
NW_009646193.1,Theileria,orientalis,strain,Shintoku,apicoplast,DNA,,partial,genome
